@relation balance-scale
@attribute LeftWeight numeric
@attribute LeftDistance numeric
@attribute RightWeight numeric
@attribute RightDistance numeric
@attribute Class {B,Other}

@data
4,1,3,5,Other
4,1,4,1,B
4,1,4,2,Other
4,1,4,3,Other
4,1,4,4,Other
4,1,4,5,Other
4,1,5,1,Other
4,1,5,2,Other
4,1,5,3,Other
4,1,5,4,Other
4,1,5,5,Other
4,2,1,1,Other
4,2,1,2,Other
4,2,1,3,Other
4,2,1,4,Other
4,2,1,5,Other
4,2,2,1,Other
4,2,2,2,Other
4,2,2,3,Other
4,2,2,4,B
4,2,2,5,Other
4,2,3,1,Other
4,2,3,2,Other
4,2,3,3,Other
4,2,3,4,Other
4,2,3,5,Other
4,2,4,1,Other
4,2,4,2,B
4,2,4,3,Other
4,2,4,4,Other
4,2,4,5,Other
4,2,5,1,Other
4,2,5,2,Other
4,2,5,3,Other
4,2,5,4,Other
4,2,5,5,Other
4,3,1,1,Other
4,3,1,2,Other
4,3,1,3,Other
4,3,1,4,Other
4,3,1,5,Other
4,3,2,1,Other
4,3,2,2,Other
4,3,2,3,Other
4,3,2,4,Other
4,3,2,5,Other
4,3,3,1,Other
4,3,3,2,Other
4,3,3,3,Other
4,3,3,4,B
4,3,3,5,Other
4,3,4,1,Other
4,3,4,2,Other
4,3,4,3,B
4,3,4,4,Other
4,3,4,5,Other
4,3,5,1,Other
4,3,5,2,Other
4,3,5,3,Other
4,3,5,4,Other
4,3,5,5,Other
4,4,1,1,Other
4,4,1,2,Other
4,4,1,3,Other
4,4,1,4,Other
4,4,1,5,Other
4,4,2,1,Other
4,4,2,2,Other
4,4,2,3,Other
4,4,2,4,Other
4,4,2,5,Other
4,4,3,1,Other
4,4,3,2,Other
4,4,3,3,Other
4,4,3,4,Other
4,4,3,5,Other
4,4,4,1,Other
4,4,4,2,Other
4,4,4,3,Other
4,4,4,4,B
4,4,4,5,Other
4,4,5,1,Other
4,4,5,2,Other
4,4,5,3,Other
4,4,5,4,Other
4,4,5,5,Other
4,5,1,1,Other
4,5,1,2,Other
4,5,1,3,Other
4,5,1,4,Other
4,5,1,5,Other
4,5,2,1,Other
4,5,2,2,Other
4,5,2,3,Other
4,5,2,4,Other
4,5,2,5,Other
4,5,3,1,Other
4,5,3,2,Other
4,5,3,3,Other
4,5,3,4,Other
4,5,3,5,Other
4,5,4,1,Other
4,5,4,2,Other
4,5,4,3,Other
4,5,4,4,Other
4,5,4,5,B
4,5,5,1,Other
4,5,5,2,Other
4,5,5,3,Other
4,5,5,4,B
4,5,5,5,Other
5,1,1,1,Other
5,1,1,2,Other
5,1,1,3,Other
5,1,1,4,Other
5,1,1,5,B
5,1,2,1,Other
5,1,2,2,Other
5,1,2,3,Other
5,1,2,4,Other
5,1,2,5,Other
5,1,3,1,Other
5,1,3,2,Other
5,1,3,3,Other
5,1,3,4,Other
5,1,3,5,Other
5,1,4,1,Other
5,1,4,2,Other
5,1,4,3,Other
5,1,4,4,Other
5,1,4,5,Other
5,1,5,1,B
5,1,5,2,Other
5,1,5,3,Other
5,1,5,4,Other
5,1,5,5,Other
5,2,1,1,Other
5,2,1,2,Other
5,2,1,3,Other
5,2,1,4,Other
5,2,1,5,Other
5,2,2,1,Other
5,2,2,2,Other
5,2,2,3,Other
5,2,2,4,Other
5,2,2,5,B
5,2,3,1,Other
5,2,3,2,Other
5,2,3,3,Other
5,2,3,4,Other
5,2,3,5,Other
5,2,4,1,Other
5,2,4,2,Other
5,2,4,3,Other
5,2,4,4,Other
5,2,4,5,Other
5,2,5,1,Other
5,2,5,2,B
5,2,5,3,Other
5,2,5,4,Other
5,2,5,5,Other
5,3,1,1,Other
5,3,1,2,Other
5,3,1,3,Other
5,3,1,4,Other
5,3,1,5,Other
5,3,2,1,Other
5,3,2,2,Other
5,3,2,3,Other
5,3,2,4,Other
5,3,2,5,Other
5,3,3,1,Other
5,3,3,2,Other
5,3,3,3,Other
5,3,3,4,Other
5,3,3,5,B
5,3,4,1,Other
5,3,4,2,Other
5,3,4,3,Other
5,3,4,4,Other
5,3,4,5,Other
5,3,5,1,Other
5,3,5,2,Other
5,3,5,3,B
5,3,5,4,Other
5,3,5,5,Other
5,4,1,1,Other
5,4,1,2,Other
5,4,1,3,Other
5,4,1,4,Other
5,4,1,5,Other
5,4,2,1,Other
5,4,2,2,Other
5,4,2,3,Other
5,4,2,4,Other
5,4,2,5,Other
5,4,3,1,Other
5,4,3,2,Other
5,4,3,3,Other
5,4,3,4,Other
5,4,3,5,Other
5,4,4,1,Other
5,4,4,2,Other
5,4,4,3,Other
5,4,4,4,Other
5,4,4,5,B
5,4,5,1,Other
5,4,5,2,Other
5,4,5,3,Other
5,4,5,4,B
5,4,5,5,Other
5,5,1,1,Other
5,5,1,2,Other
5,5,1,3,Other
5,5,1,4,Other
5,5,1,5,Other
5,5,2,1,Other
5,5,2,2,Other
5,5,2,3,Other
5,5,2,4,Other
5,5,2,5,Other
5,5,3,1,Other
5,5,3,2,Other
5,5,3,3,Other
5,5,3,4,Other
5,5,3,5,Other
5,5,4,1,Other
5,5,4,2,Other
5,5,4,3,Other
5,5,4,4,Other
5,5,4,5,Other
5,5,5,1,Other
5,5,5,2,Other
5,5,5,3,Other
5,5,5,4,Other
5,5,5,5,B
